scenario_tag,seed,nq_requested,best_nq,best_proxy_rl,final_auc_nested
bn_s2_thr_soft_youden,0,4,4,0.9975346219851432,1.0
bn_s2_thr_soft_youden,0,6,6,0.9977791624210618,0.9996750674697065
bn_s2_thr_soft_youden,1,4,5,0.9962170989284898,1.0
bn_s2_thr_soft_youden,1,6,5,0.9976394250293898,1.0
bn_s2_thr_soft_youden,2,4,4,0.975640771280342,0.9999695242739158
bn_s2_thr_soft_youden,2,6,6,0.9961472302320893,1.0
bn_s2_thr_soft_youden,3,4,4,0.9979538341596043,0.9998173032893517
bn_s2_thr_soft_youden,3,6,6,0.9962470421823265,0.9996246529429555
bn_s2_thr_soft_youden,4,4,4,0.951551003317972,0.9998681434599156
bn_s2_thr_soft_youden,4,6,6,0.9915858037406712,0.99992900032457
