scenario_tag,seed,nq_requested,best_nq,best_proxy_rl,final_auc_nested
bn_s3_hard_budget,0,4,4,0.9437057466399916,0.9998984142463861
bn_s3_hard_budget,0,6,6,0.9065901662014749,0.9727694503507444
bn_s3_hard_budget,1,4,6,0.9976743593773779,1.0
bn_s3_hard_budget,1,6,6,0.9463508119015701,0.9962960769040952
bn_s3_hard_budget,2,4,4,0.9262833781683832,0.9999594287568971
bn_s3_hard_budget,2,6,6,0.9947897817292106,0.9998578902970402
bn_s3_hard_budget,3,4,4,0.9271717384067611,0.9999187313971089
bn_s3_hard_budget,3,6,6,0.9961073047858643,0.9996144470738372
bn_s3_hard_budget,4,4,4,0.9525441636269266,0.9999593656985545
bn_s3_hard_budget,4,6,7,0.8715151298528042,0.9573392398895937
