scenario_tag,seed,nq_requested,best_nq,best_proxy_rl,final_auc_nested
bc_s0_baseline,0,4,4,0.7261661758998994,0.6453104575163399
bc_s0_baseline,0,6,7,0.7542751990779196,0.6033848667672196
bc_s0_baseline,1,4,4,0.8096065282307038,0.6172611865258925
bc_s0_baseline,1,6,6,0.8283444511945636,0.6715849673202614
bc_s0_baseline,2,4,4,0.8578187097960058,0.7870751633986929
bc_s0_baseline,2,6,6,0.8620741465259051,0.6163386123680241
bc_s0_baseline,3,4,4,0.7804918347800619,0.5795223730517848
bc_s0_baseline,3,6,6,0.8004266053918051,0.5865397184514832
bc_s0_baseline,4,4,4,0.7855873923956466,0.6236450477626948
bc_s0_baseline,4,6,6,0.7772493553134815,0.6221430367018602
