scenario_tag,seed,nq_requested,best_nq,best_proxy_rl,final_auc_nested
bc_s1_enc_param,0,4,4,0.8885222631505721,0.9626885369532427
bc_s1_enc_param,0,6,7,0.9489471278321483,0.9817106586224233
bc_s1_enc_param,1,4,4,0.8363389492893625,0.9762858220211162
bc_s1_enc_param,1,6,6,0.8723073188169527,0.970913775766717
bc_s1_enc_param,2,4,5,0.9200285350376799,0.9638549522373051
bc_s1_enc_param,2,6,6,0.9454688443902562,0.9748956762192056
bc_s1_enc_param,3,4,5,0.9049080851063024,0.9796530920060332
bc_s1_enc_param,3,6,7,0.8804447168620723,0.9815246354952237
bc_s1_enc_param,4,4,4,0.880501754844202,0.9747297637003519
bc_s1_enc_param,4,6,6,0.8986413121837442,0.978192559074912
