scenario_tag,seed,nq_requested,best_nq,best_proxy_rl,final_auc_nested
bc_s2_thr_soft_youden,0,4,4,0.939259696190657,0.9739203117144294
bc_s2_thr_soft_youden,0,6,6,0.910254842557337,0.9837179487179487
bc_s2_thr_soft_youden,1,4,4,0.9093636174591168,0.9680203619909502
bc_s2_thr_soft_youden,1,6,7,0.9298597292087794,0.9728821015585721
bc_s2_thr_soft_youden,2,4,4,0.9340279002572418,0.9646694318753143
bc_s2_thr_soft_youden,2,6,6,0.9283936466467926,0.9732101558572147
bc_s2_thr_soft_youden,3,4,4,0.9060003362290975,0.965623428858723
bc_s2_thr_soft_youden,3,6,7,0.9202297590523032,0.9791365007541478
bc_s2_thr_soft_youden,4,4,4,0.8855326103267311,0.9685444947209652
bc_s2_thr_soft_youden,4,6,6,0.9052815073202897,0.9753205128205128
