scenario_tag,seed,nq_requested,best_nq,best_proxy_rl,final_auc_nested
bc_s3_hard_budget,0,4,4,0.8887811325332435,0.982440925087984
bc_s3_hard_budget,0,6,5,0.8964562245105255,0.9546128707893414
bc_s3_hard_budget,1,4,4,0.900365990319628,0.9632164404223227
bc_s3_hard_budget,1,6,6,0.9023494727426236,0.9786726998491705
bc_s3_hard_budget,2,4,4,0.9386272728296627,0.9588725490196078
bc_s3_hard_budget,2,6,6,0.9516779878082918,0.9687644544997486
bc_s3_hard_budget,3,4,4,0.931670737212501,0.9860331825037708
bc_s3_hard_budget,3,6,7,0.8804447168620723,0.9814089994972347
bc_s3_hard_budget,4,4,5,0.8575323133049566,0.9750565610859728
bc_s3_hard_budget,4,6,6,0.904447795043894,0.970798139768728
