scenario_tag,seed,nq_requested,best_nq,best_proxy_rl,final_auc_nested
bc_s4_focal,0,4,4,0.900222339834885,0.9731938159879338
bc_s4_focal,0,6,7,0.9018028062472073,0.9705228758169934
bc_s4_focal,1,4,4,0.8657255663789459,0.9688914027149321
bc_s4_focal,1,6,7,0.9236505636328308,0.9686965811965812
bc_s4_focal,2,4,4,0.9109446119569437,0.9753531925590749
bc_s4_focal,2,6,6,0.9112320172736958,0.9485972850678733
bc_s4_focal,3,4,4,0.9321019392612387,0.9759502262443439
bc_s4_focal,3,6,7,0.9174701516694733,0.9841176470588234
bc_s4_focal,4,4,4,0.8744066963348057,0.9622913524384114
bc_s4_focal,4,6,6,0.8998771355152659,0.9718828557063851
