[2026-08-08 00:15:07] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 00:17:13] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 00:19:19] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 00:21:28] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 00:23:27] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 00:25:24] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 00:27:22] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 00:29:16] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 00:31:09] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 00:33:04] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 00:35:03] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 00:37:01] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 00:38:58] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 00:40:50] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 00:42:40] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 00:44:30] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 00:46:29] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 00:48:28] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 00:50:30] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 00:52:29] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 00:54:27] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 00:56:27] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 00:58:25] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:00:24] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:02:22] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:04:14] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:06:08] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:08:01] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:09:56] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:11:51] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:13:47] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:15:51] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:17:54] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:19:56] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:21:57] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:23:56] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:25:33] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:25:33] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
