scenario_tag,seed,nq_requested,best_nq,best_proxy_rl,final_auc_nested
mm_s0_baseline,0,4,5,0.8421578394571011,0.826888001089971
mm_s0_baseline,0,6,6,0.7239335720780368,0.826888001089971
mm_s0_baseline,1,4,5,0.7652840676319232,0.9981167235824883
mm_s0_baseline,1,6,6,0.7017472938301255,0.9317273842015744
mm_s0_baseline,2,4,4,0.6192498090668264,0.8025240738543219
mm_s0_baseline,2,6,6,0.6585296667627798,0.8511046943466548
mm_s0_baseline,3,4,4,0.7364080904790844,0.8150785174637077
mm_s0_baseline,3,6,6,0.7612753492968964,0.8158937981532025
mm_s0_baseline,4,4,4,0.7052448010907024,0.927798214733067
mm_s0_baseline,4,6,6,0.7512344544919404,0.9297781821218395
