scenario_tag,seed,nq_requested,best_nq,best_proxy_rl,final_auc_nested
mm_s1_enc_param,0,4,5,0.8933281689657875,0.9525159430226476
mm_s1_enc_param,0,6,6,0.9165050915420287,0.9531026814164348
mm_s1_enc_param,1,4,6,0.9013081199966031,0.9572911584896872
mm_s1_enc_param,1,6,6,0.883646090665665,0.9254644462903631
mm_s1_enc_param,2,4,5,0.8548347263574139,0.957851526618585
mm_s1_enc_param,2,6,4,0.9047700310980583,0.9806288429167273
mm_s1_enc_param,3,4,4,0.9268319519890809,0.9543025284688985
mm_s1_enc_param,3,6,7,0.9300004937751203,0.94423348232533
mm_s1_enc_param,4,4,4,0.8748443232002698,0.821618343156257
mm_s1_enc_param,4,6,6,0.9170331470101807,0.9478681838359067
