scenario_tag,seed,nq_requested,best_nq,best_proxy_rl,final_auc_nested
mm_s2_thr_soft_youden,0,4,4,0.8403978542283567,0.9507667154516567
mm_s2_thr_soft_youden,0,6,6,0.9165050915420287,0.9526324116925755
mm_s2_thr_soft_youden,1,4,4,0.9090532500328383,0.9549837603118724
mm_s2_thr_soft_youden,1,6,5,0.9280055054239028,0.9456596741514268
mm_s2_thr_soft_youden,2,4,5,0.8548347263574139,0.9576163917566552
mm_s2_thr_soft_youden,2,6,6,0.887401509656832,0.9654461629067065
mm_s2_thr_soft_youden,3,4,4,0.9655576793778117,0.9294595414210937
mm_s2_thr_soft_youden,3,6,5,0.9131018975533594,0.971777224002215
mm_s2_thr_soft_youden,4,4,4,0.8748443232002698,0.830248012341284
mm_s2_thr_soft_youden,4,6,6,0.8800080785452774,0.9510348131446982
