scenario_tag,seed,nq_requested,best_nq,best_proxy_rl,final_auc_nested
mm_s3_hard_budget,0,4,5,0.8406895931959186,0.9205683671092476
mm_s3_hard_budget,0,6,6,0.779621621286638,0.9486680818708825
mm_s3_hard_budget,1,4,4,0.8236915379418691,0.8119448509860282
mm_s3_hard_budget,1,6,6,0.7964641161979242,0.9471671742942659
mm_s3_hard_budget,2,4,5,0.834289437759653,0.8073520298511397
mm_s3_hard_budget,2,6,6,0.8535432751082537,0.9577152802499901
mm_s3_hard_budget,3,4,5,0.7763668038296553,0.9525598934641298
mm_s3_hard_budget,3,6,7,0.9233885622145095,0.9531378417696206
mm_s3_hard_budget,4,4,4,0.8740227954471167,0.8207613095473544
mm_s3_hard_budget,4,6,6,0.8695623786008169,0.9502305200655741
