scenario_tag,seed,nq_requested,best_nq,best_proxy_rl,final_auc_nested
mm_s4_focal,0,4,5,0.8419222562554378,0.9208035019711773
mm_s4_focal,0,6,8,0.8695692947570415,0.9510040478356605
mm_s4_focal,1,4,4,0.9224312268764172,0.9236470955350747
mm_s4_focal,1,6,6,0.92201532383028,0.9237635642050024
mm_s4_focal,2,4,5,0.8357518011919354,0.8073520298511397
mm_s4_focal,2,6,6,0.8255470072168715,0.9571329369003511
mm_s4_focal,3,4,4,0.8234959906132615,0.9526741646119836
mm_s4_focal,3,6,5,0.9298803146145371,0.936328995424759
mm_s4_focal,4,4,4,0.8684489612577346,0.8066004773017945
mm_s4_focal,4,6,5,0.7969903591355275,0.9632266656118561
